pt,yb,Occupancy,seui,ngu,eu,tge,wu
Hospitality,269581,13745,63281.08465989674,12980020873.684675,6515793555.852158,1243206.2292075558,6675976.287169435
Hotel,1278283,62180,984991.8693197935,6326433861.397993,17620268360.30863,8867603.311220149,95124077.46568315
Industrial,1073286,52580,57356.869319793484,4377888614.083925,1317812054.2129483,245941.75841511137,4602817.197149834
Multifamily,48995875,2499945,7438601.112974414,761218419185.6205,78007880818.67601,67682960.51728402,317141637.9770315
Office,6877944,342775,2632790.7465989674,38124968175.47092,58629646239.243164,37186404.76847807,42285763.842776574
Other,7304181,361060,1553427.6314517502,39237189089.853806,24968280476.849453,14615854.80890578,78387649.35917467
Retail,572651,28620,68610.34621319566,1976010034.8954797,2424067636.476079,296165.3820125928,10087616.434216445
SpecialPurpose,3224980,164515,274550.8695126794,6864247320.967343,4348818840.225897,1843338.2280503714,25065082.022308882
