,Property Name,Borough,yb,ppt,Property Type,Occupancy,seui,ngu,eu,tge,wu
33977,Jalen : 52-05 39th Road,Queens,1951,Multifamily Housing,Multifamily,100,128.6,24384312.42738699,1802999.7,905.0,6197.4
33978,Berkeley Cooperative Towers Section III Corp.,Queens,1961,Other,Other,100,135.7,12903661.5,3854877.9,1185.2,16217.966089617938
33979,ALWOLF03960  Alexander Wolf 39-60 54th Street,Queens,1972,Multifamily Housing,Multifamily,100,155.7,18358602.1,4297420.7,1543.6,13026.6
33980,72-17 34th Avenue (WD),Queens,1936,Multifamily Housing,Multifamily,95,96.8,6449499.9,1120842.0,435.5,4499.2
33981,BRGNY007677 BRGNY 76th and 77th,Queens,1951,Multifamily Housing,Multifamily,100,117.3,13119954.2,2543672.0,907.8,18905.1
33982,Pinnacle - 76-09 34th Ave,Queens,1937,Multifamily Housing,Multifamily,100,132.1,7987038.4,1352346.6,655.7,6331.6
33983,EVE REALTY CO,Queens,1950,Multifamily Housing,Multifamily,100,89.1,4882814.2,1631090.8,458.1,6937.9
33984,New Bedford: 33-25 81st St,Queens,1951,Multifamily Housing,Multifamily,100,146.5,18702200.5,2873801.2,1231.7,14103.8
33985,Olmstead Owners Corp.,Queens,1963,Multifamily Housing,Multifamily,100,131.9,3501496.2,1339847.4,297.1,4313.1
33986,REGAL HEIGHTS HEALTH CARE CENTER,Queens,1998,Senior Care Community,Other,100,287.0,10257232.3,10281006.4,1397.5,10954.6
33987,FCE : 34-20 74 Street,Queens,1937,Multifamily Housing,Multifamily,100,122.2,5820700.2,756914.7,371.9,16217.966089617938
33988,34-58 74th Street,Queens,1934,Multifamily Housing,Multifamily,100,90.1,3130599.8,625383.3,218.1,2272.6
33989,Lovett - 34-10 75th Street / 34-15 74th Street,Queens,1960,Multifamily Housing,Multifamily,100,111.3,8123533.8,2312364.0,623.3,8411.0
33990,BRGNY 74-15 35th ave,Queens,1935,Multifamily Housing,Multifamily,100,86.4,5453859.2,1202604.8,389.4,16217.966089617938
33991,DiMarco Management Co.LP,Queens,1930,Multifamily Housing,Multifamily,100,104.2,4343645.1,858898.4,301.9,16217.966089617938
33992,The Versailles Apt. Owners Inc.,Queens,1950,Multifamily Housing,Multifamily,100,127.1,7511103.7,1374357.5,512.9,5957.5
33993,Richelieu Gardens,Queens,1992,Multifamily Housing,Multifamily,100,112626.4,220100.0,3729783762.0,309440.7,8945.2
33994,Katz: 34-35 76th Street,Queens,1949,Multifamily Housing,Multifamily,100,97.4,6748599.9,1772452.1,616.1,16217.966089617938
33995,SLJ: 76-15 35th Ave,Queens,1939,Multifamily Housing,Multifamily,100,132.6,9686800.1,1388933.1,629.7,5670.4
33996,"77-02 34th Avenue, Queens",Queens,1950,Multifamily Housing,Multifamily,100,121.8,5553913.3,1273618.0,492.8,16217.966089617938
33997,34-20 78 ST,Queens,1951,Multifamily Housing,Multifamily,100,115.6,7656542.7,1637939.7,542.5,16217.966089617938
33998,Lovett - 77-11 35th Avenue,Queens,1941,Multifamily Housing,Multifamily,100,84.6,5361961.1,1396639.9,400.6,3784.3
33999,ADI: 34-19 77th Street,Queens,1951,Multifamily Housing,Multifamily,100,114.1,5766000.2,1627923.2,538.8,5875.2
34000,AKAM - 78-10 34th Avenue,Queens,1939,Multifamily Housing,Multifamily,100,99.3,3968218.9,763090.3,345.1,1963.6
34001,AKAM - 34-20 79th Street,Queens,1939,Multifamily Housing,Multifamily,100,95.3,3695699.5,757254.7,330.4,1953.2
34002,AKAM - 34-40 79th Street,Queens,1939,Multifamily Housing,Multifamily,100,102.7,4115984.9,834063.4,350.3,16217.966089617938
34003,AKAM - 78-11 35th Avenue,Queens,1939,Multifamily Housing,Multifamily,100,99.3,3960227.4,762001.2,345.3,2404.2
34004,AKAM - 34-41 78th Street,Queens,1939,Multifamily Housing,Multifamily,100,91.4,3677839.8,679019.9,320.3,1812.5
34005,AKAM - 34-21 78th Street,Queens,1939,Multifamily Housing,Multifamily,100,92.0,3734236.1,733120.5,314.4,2115.0
34006,79-10 34th Avenue - 23816,Queens,1955,Multifamily Housing,Multifamily,100,107.0,11205775.9,2438036.2,797.4,5737.1
34007,79-01 35th Ave. Owners Corp,Queens,1939,Multifamily Housing,Multifamily,100,101.1,2435574.4,548605.1,239.1,1829.0
34008,Norcor - 79-15 35th Avenue,Queens,1939,Multifamily Housing,Multifamily,100,71.0,2215803.6,468135.2,156.5,1604.6
34009,Stratford Hall Condominium,Queens,1942,Multifamily Housing,Multifamily,100,207.0,8349283.1,1504233.5,611.4,5552.3
34010,VIS - Heights Associates: 81-06 34th Avenue,Queens,1951,Multifamily Housing,Multifamily,100,138.2,4207540.1,1051757.5,331.2,16217.966089617938
34011,Argo - 34-24 82nd Street,Queens,1937,Multifamily Housing,Multifamily,100,122.0,5988152.2,1464148.2,537.8,16217.966089617938
34012,81-05 Tenants LTD,Queens,1940,Multifamily Housing,Multifamily,100,11.3,2335.5,322106.5,26.8,8262.2
34013,Katz: 34-31 81st Street,Queens,1937,Multifamily Housing,Multifamily,100,102.6,7029200.2,1232015.2,475.5,5100.2
34014,AAR: 34-44 82 St,Queens,1937,Multifamily Housing,Multifamily,100,105.6,3637699.8,714309.1,345.2,3626.6
34015,35-20 Leverich St,Queens,1964,Multifamily Housing,Multifamily,100,136.2,12503499.9,3223858.9,931.5,15021.6
34016,Fisher: 35-15 Leverich St,Queens,1956,Multifamily Housing,Multifamily,100,84.5,4615200.0,920400.6,321.5,5530.6
34017,JAC TOWERS,Queens,1929,Multifamily Housing,Multifamily,100,11.4,73564.2,169839.5,18.0,3227.8
34018,Argo - 72-15 37th Avenue,Queens,1937,Multifamily Housing,Multifamily,100,119.2,4162205.1,674251.5,324.3,2897.4
34019,Delta Management- 73-12 35 Avenue,Queens,1951,Multifamily Housing,Multifamily,100,329.2,18216100.2,2473947.0,1193.2,14250.5
34020,Fisher: 35-46 74 ST,Queens,1936,Multifamily Housing,Multifamily,100,141.3,11370999.9,1335156.6,714.7,5139.9
34021,35-60 74 ST REALTY,Queens,1958,Multifamily Housing,Multifamily,100,111.2,24384312.42738699,1122688.8,358.2,10444.1
