,Property Name,Borough,yb,ppt,Property Type,Occupancy,seui,ngu,eu,tge,wu
29181,760 Riverside Dr,Manhattan,1931,Multifamily Housing,Multifamily,100,93.2,4471273.4,474481.1,276.8,2987.0
29182,POLO GROUNDS TOWERS,Manhattan,1968,Multifamily Housing,Multifamily,100,191.8,176091369.5,45927985.2,13162.1,16217.966089617938
29183,RANGEL,Manhattan,1951,Multifamily Housing,Multifamily,100,212.1,96722479.5,24003940.4,7128.1,16217.966089617938
29184,Total: 930 Saint Nicholas Avenue,Manhattan,1910,Multifamily Housing,Multifamily,100,149.5,240900.0,755942.2,459.8,3401.6
29185,936 St. Nicholas Ave,Manhattan,1909,Multifamily Housing,Multifamily,100,131.6,252600.0,1114608.3,493.9,4794.3
29186,BETHUNE GARDENS,Manhattan,1967,Multifamily Housing,Multifamily,100,201.8,24898717.9,3214062.7,1589.0,16217.966089617938
29187,929-935 St. Nicholas Ave,Manhattan,1915,Multifamily Housing,Multifamily,100,94.0,198500.0,840559.8,387.9,2795.2
29188,940 Saint Nicholas Ave,Manhattan,1922,Multifamily Housing,Multifamily,100,111.4,277300.0,1215641.0,535.2,9630.3
29189,473 West 158 Street Corp.,Manhattan,1920,Multifamily Housing,Multifamily,100,166.3,7318308.6,1520953.0,514.8,16217.966089617938
29190,"GVS Properties IV, LLC/961StNicholasAve",Manhattan,1910,Multifamily Housing,Multifamily,100,168.7,328944.8,866454.0,484.0,4312.6
29191,555 Edgecombe Ave,Manhattan,1915,Multifamily Housing,Multifamily,100,143.2,13937128.7,2235199.4,925.6,9978.0
29192,Chatam: 1001-5 St Nicholas Ave,Manhattan,1923,Multifamily Housing,Multifamily,100,126.0,1247700.0,42571.5,671.8,11121.7
29193,BMW Parkview Corp,Manhattan,1928,Multifamily Housing,Multifamily,100,92.1,226400.0,902323.9,357.2,16217.966089617938
29194,456 West 167th Street,Manhattan,2012,Other,Other,100,284.9,5670434.6,1421098.0,727.3,16217.966089617938
29195,KMR Amsterdam LLC,Manhattan,1929,Multifamily Housing,Multifamily,100,37.0,24384312.42738699,992298.3,82.3,16217.966089617938
29196,Dunwell Plaza,Manhattan,1979,Multifamily Housing,Multifamily,100,82.1,8772505.2,1806631.2,615.8,9873.1
29197,Pinnacle - 509 West 155th St,Manhattan,1922,Multifamily Housing,Multifamily,100,127.6,5058380.0,812561.2,336.1,695.7
29198,"157 Broadway Associates, LLC",Manhattan,1910,Multifamily Housing,Multifamily,100,171.3,948854.5,3527893.8,888.8,16217.966089617938
29199,M814-0101701,Manhattan,2013,K-12 School,SpecialPurpose,100,237.3,4219400.1,5541088.1,683.7,16217.966089617938
29200,547 W 157 Street,Manhattan,1912,Multifamily Housing,Multifamily,100,139.6,322604.5,799936.0,432.6,16217.966089617938
29201,3800 Broadway/559 West 158th Street,Manhattan,1910,Multifamily Housing,Multifamily,100,180.4,4753300.0,1452720.4,424.2,16217.966089617938
